Name,SetId,Number
"_____'s Pikachu","","24"
"Aaron's Collection","","88"
"Abomasnow","","26"
"Abomasnow","","19"
"Abomasnow","","12"
"Abomasnow","","42"
"Abomasnow","","38"
"Abomasnow","","4"
"Abomasnow","","60"
"Abomasnow","","11"
"Abomasnow","","101"
"Abomasnow","","TG01"
"Abomasnow","","43"
"Abomasnow","","13"
"Abomasnow","","10"
"Abomasnow","","40"
"Abra","","43"
"Abra","","65"
"Abra","","49"
"Abra","","67"
"Abra","","69"
"Abra","","93"
"Abra","","46"
"Abra","","54"
"Abra","","63"
"Abra","","148"
"Abra","","80"
"Absol","","67"
"Absol","","21"
"Absol","","15"
"Absol","","18"
"Absol","","1"
"Absol","","96"
"Absol","","91"
"Absol","","63"
"Absol","","133"
"Absol","","81"
"Absol","","88"
"Absol","","113"
"Absol","","30"
"Absol","","97"
"Absol","","76"
"Absol","","GG16"
"Absol","","38"
"Absol","","164"
"Absol","","40"
"Absol","","XY178"
"Absol ex","","92"
"Absol ex","","135"
"Absol ex","","214"
"Absol G","","1"
"Absol G LV.X","","141"
"Absol-EX","","XY62"
"Academy at Night","","54"
"Accelgor","","8"
"Accelgor","","12"
"Accelgor","","11"
"Accelgor","","9"
"Accelgor","","94"
"Accelgor","","13"
"Accelgor","","10"
"Accelgor","","14"
"Accompanying Flute","","142"
"Ace Trainer","","69"
"Acerola","","112"
"Acerola","","112a"
"Acerola","","142"
"Acerola's Mischief","","113"
"Acerola's Mischief","","165"
"Acerola's Mischief","","183"
"Acerola's Mischief","","180"
"Acerola's Premonition","","129"
"Acerola's Premonition","","TG24"
"Acro Bike","","123"
"Acro Bike","","123a"
"Acro Bike","","178"
"Acro Bike","","122"
"Adaman","","135"
"Adaman","","181"
"Adaman","","199"
"Adaman","","GG57"
"Adventure Bag","","167"
"Adventure Bag","","228"
"Adventurer's Discovery","","TG23"
"Adventurer's Discovery","","224"
"Aegislash","","95"
"Aegislash","","49"
"Aegislash","","109"
"Aegislash","","134"
"Aegislash","","210"
"Aegislash","","60"
"Aegislash","","135"
"Aegislash","","107"
"Aegislash","","108"
"Aegislash","","85"
"Aegislash","","86"
"Aegislash","","100"
"Aegislash","","62"
"Aegislash ex","","135"
"Aegislash ex","","230"
"Aegislash V","","126"
"Aegislash V","","177"
"Aegislash VMAX","","127"
"Aegislash VMAX","","190"
"Aegislash-EX","","65"
"Aegislash-EX","","65a"
"Aerodactyl","","1"
"Aerodactyl","","16"
"Aerodactyl","","53"
"Aerodactyl","","15"
"Aerodactyl","","13"
"Aerodactyl","","130"
"Aerodactyl","","142"
"Aerodactyl","","76"
"Aerodactyl ex","","94"
"Aerodactyl GL","","55"
"Aerodactyl Spirit Link","","XY99"
"Aerodactyl V","","92"
"Aerodactyl V","","179"
"Aerodactyl V","","180"
"Aerodactyl VSTAR","","93"
"Aerodactyl VSTAR","","199"
"Aerodactyl δ","","35"
"Aerodactyl-EX","","XY97"
"Aerodactyl-GX","","106"
"Aerodactyl-GX","","224"
"Aerodactyl-GX","","244"
"Aether Foundation Employee","","168"
"Aether Foundation Employee","","SV81"
"Aether Paradise Conservation Area","","116"
"Aether Paradise Conservation Area","","SV87"
"Agatha","","129"
